label,sentence
4,オトコも美しく、ビジネスに役立つメンズコスメ 【新生活特集】
4,「論理的思考力が身に付かず悩んでいます」 - 辛口説教部屋 vol.56
8,NTTドコモ、Xperia PLAYやXperia ray、Xperia acro、Xperia arc、F-12CにおいてAndroid 4.0 ICSへのOSバージョンアップを断念
2,DaVinci Resolve Lite 8.1 でノードが無制限に！【ビデオSALON】
6,エジプトのサッカー場暴動に「世界が日本を見習うべき」
1,CDケース大にSandyBridgeを搭載　ZOTACの新型コンパクトベアボーン
4,ＩＴ関連企業 取締役「塩ごはんさえご馳走だった」 - 年収1000万円プレイヤー図鑑 vol.1
6,【Sports Watch】澤、今後を語る「指導者は絶対ないですね」
5,世界中のモデルが美の競演！「Essential Looks 2010 Spring&Summer」
1,賞品がもらえるコンテストも応募受付中！zigsow、「やってみよう！オーバークロック」がスタート
6,【Sports Watch】“恋したい”浅田真央が苦笑い 「残念ですね」
7,セール価格で世界一住みやすい国オーストラリアへ！
2,【話題】電気ポット？電気ケトル？節電に効果的な「湯沸かし家電」とは
7,女たちの梅雨対策
2,１人暮らしに最適！ハイアールからワンタッチ温め対応のレンジ「JM-V16A」が登場
7,精神的ないじめ「モラハラ」の恐怖とは？
1,楽天が電子書籍サービスを開始？　「Kobo」のサイトを新たに開設
7,男のマザコン、許せる？　許せない？
1,そういうことか！Googleロゴが絵画である理由
5,インタビュー：インナービューティスペシャリスト・友野なお「自分で体験したことを伝えたい」
3,北朝鮮が″ミサイル″発射も1分で落下
2,自分好みのお店が必ず見つかると噂のソーシャルグルメサイト「Retty」ってなに？【話題】
8,ちょっとの油断が命取り！食中毒に関しての知識をつけて予防しよう「食中毒の知識」【iPhoneアプリ】
7,独女世代が気になる女の条件とは
6,プロ野球開幕、ノムさん＆桑田の優勝予想は全く同じに——
5,雨・飴・なめなめ♪　カラフル飴でハッピーおやつタイム
2,女子必見！？　ソフトバンクからキティちゃんのスマホ登場
6,【Sports Watch】ダルビッシュが明かす最終目標とは？
6,【Sports Watch】西岡のエラーにチームメイトがブチキレ状態で大暴れ
7,女子力も上がる！？ 大人のシール事情！
2,亀梨和也も「気持ちい〜！」　パナソニックからメンズ用の頭皮ケアアイテムが登場！　【売れ筋チェック】
6,なでしこリーグに警鐘「リーグの意味がない」
5,八神蓮「好きになられて嫌な男はいない」
4,【力説自動車.web】第1回：クルマ離れなんてウソ！ 震災時こそクルマを！
7,料理やファッションをついネットで晒してしまう心理とは？
5,とびきりイイ女になる恋愛テクまとめ／カリスマ美魔女のダイエット法など−【お気に入り登録記事】週間ランキング
3,「クイズ☆タレント名鑑」のランキングに「差別だ」の声も
2,【話題】新技術４Kに集まる注目と期待！　４Kテレビは家庭に普及するのか？
2,デジタル双眼鏡はビデオカメラの進化形なのか？【ビデオSALON】
6,金本の永久欠番内定に野球ファン「安い永久欠番ですね」
8,NTTドコモ、一部スマートフォンの月々サポートを4月27日から増額して本体価格を実質値下げ！人気のAQUOS PHONE SH-01DやREGZA Phone T-01Dなど
2,テレビ離れなんて関係ない！「家政婦のミタ」人気がすごすぎる！！【話題】
3,中華圏で大ブレイクした“日本流物作り”
7,自転車女子、はじめましたvol.04「柴又で満喫下町ポタリング！」Presented by ゆるっとcafe
4,FR、水平対向エンジン…etc クルマファン感涙のスポーツカー「BRZ」が登場
7,【オトナ女子映画部】精子バンクのドナーは完璧な恋人？『カレには言えない私のケイカク』
8,ヱヴァスマホ「SH-06D NERV」に同梱される専用リアカバーが公開！特設サイトがリニューアル
2,サンワサプライ、半径５ｍ内の音声を集音できる高感度マイク採用のＷＥＢ会議マイクを発売【売れ筋チェック】
8,【最近のオススメ「Androidアプリ」特集：2012年6月11〜17日編】
1,写真でみる世界最軽量Ultrabook！新情報が目白押しの1日を振り返る【ITフラッシュバック】
0,吉高由里子「ムカつく発言があったとしても、すごくカワイイ」＜2011年インタビューまとめ vol.2＞
7,ととのいました！2011年スケジュール帳の使い方
6,日本代表ホームで完敗、北澤豪氏は「かなり危険な状態」
1,電波監理審議会が答申！プラチナバンド900MHz帯はソフトバンクへ
1,Zeroから戻す方法も簡単に！　昨日より一般会員もZeroが利用可能に！
1,心の中に音を感じたときに撮る！相星哲也 氏が語る、音を感じる風景【NEXT GENERATION】
0,ジャスティン・ティンバーレイク主演『TIME／タイム』の予告映像が公開
0,【編集部的映画批評】水谷豊の“相棒”は座敷わらしだった
2,居眠り運転を事前に防ぐ！　運転中の目の動きで居眠り検知、iPhoneが起こしてくれる【話題】
1,おはこんこん、ふぉっくす紺子です！オリジナルグッズがアキバ進出だよ【紺子にゅうす】
0,『荒川アンダー ザ ブリッジ』の“荒川ワールド”満載な予告＆ポスターが公開
